date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Apr-23,Mizoram,four wheelers,0,336
01-Apr-23,Nagaland,two wheelers,0,560
01-May-23,Andaman & Nicobar Island,two wheelers,0,436
01-May-23,Andaman & Nicobar Island,four wheelers,0,150
01-May-23,Arunachal Pradesh,four wheelers,0,1132
01-May-23,Ladakh,four wheelers,0,364
01-May-23,Mizoram,four wheelers,0,382
01-May-23,Nagaland,two wheelers,0,610
01-May-23,Nagaland,four wheelers,0,796
01-Jun-23,Andaman & Nicobar Island,two wheelers,0,373
01-Jun-23,Arunachal Pradesh,two wheelers,0,1141
01-Jun-23,Arunachal Pradesh,four wheelers,0,1089
01-Jun-23,Ladakh,four wheelers,0,304
01-Jun-23,Manipur,four wheelers,0,220
01-Jun-23,Mizoram,four wheelers,0,383
01-Jun-23,Nagaland,two wheelers,0,650
01-Jun-23,Nagaland,four wheelers,0,620
01-Jul-23,Andaman & Nicobar Island,two wheelers,0,424
01-Jul-23,Arunachal Pradesh,two wheelers,0,1315
01-Jul-23,Ladakh,four wheelers,0,301
01-Jul-23,Mizoram,four wheelers,0,439
01-Aug-23,Andaman & Nicobar Island,two wheelers,0,477
01-Aug-23,Arunachal Pradesh,two wheelers,0,1292
01-Aug-23,Ladakh,two wheelers,0,63
01-Aug-23,Ladakh,four wheelers,0,278
01-Aug-23,Mizoram,four wheelers,0,410
01-Aug-23,Nagaland,two wheelers,0,592
01-Aug-23,Nagaland,four wheelers,0,760
01-Sep-23,Andaman & Nicobar Island,two wheelers,0,379
01-Sep-23,Arunachal Pradesh,two wheelers,0,1274
01-Sep-23,Ladakh,two wheelers,0,40
01-Sep-23,Ladakh,four wheelers,0,211
01-Sep-23,Manipur,two wheelers,0,426
01-Sep-23,Manipur,four wheelers,0,239
01-Sep-23,Mizoram,four wheelers,0,415
01-Sep-23,Nagaland,four wheelers,0,654
01-Oct-23,Arunachal Pradesh,two wheelers,0,1281
01-Oct-23,Ladakh,two wheelers,0,33
01-Oct-23,Ladakh,four wheelers,0,187
01-Oct-23,Mizoram,four wheelers,0,453
01-Oct-23,Nagaland,two wheelers,0,471
01-Oct-23,Nagaland,four wheelers,0,743
01-Nov-23,Arunachal Pradesh,two wheelers,0,1458
01-Nov-23,Ladakh,two wheelers,0,39
01-Nov-23,Ladakh,four wheelers,0,166
01-Nov-23,Mizoram,four wheelers,0,531
01-Dec-23,Ladakh,two wheelers,0,7
01-Dec-23,Ladakh,four wheelers,0,144
01-Dec-23,Mizoram,four wheelers,0,568
01-Dec-23,Nagaland,two wheelers,0,421
01-Dec-23,Nagaland,four wheelers,0,562
01-Jan-24,Arunachal Pradesh,two wheelers,0,995
01-Jan-24,Nagaland,two wheelers,0,505
01-Jan-24,Ladakh,four wheelers,0,141
01-Jan-24,Andaman & Nicobar,four wheelers,0,177
01-Jan-24,Nagaland,four wheelers,0,877
01-Feb-24,Arunachal Pradesh,two wheelers,0,1117
01-Feb-24,Nagaland,two wheelers,0,763
01-Feb-24,Ladakh,two wheelers,0,4
01-Feb-24,Mizoram,four wheelers,0,494
01-Feb-24,Ladakh,four wheelers,0,47
01-Mar-24,Arunachal Pradesh,two wheelers,0,1259
01-Mar-24,Ladakh,two wheelers,0,11
01-Mar-24,Mizoram,four wheelers,0,463
01-Mar-24,Nagaland,four wheelers,0,1336
01-Mar-24,Ladakh,four wheelers,0,81
01-Apr-21,DNH and DD,two wheelers,1,657
01-Apr-21,Himachal Pradesh,four wheelers,1,3544
01-Apr-21,Meghalaya,four wheelers,1,930
01-May-21,Chandigarh,four wheelers,1,413
01-May-21,Haryana,four wheelers,1,4373
01-May-21,Himachal Pradesh,four wheelers,1,1503
01-May-21,Jharkhand,four wheelers,1,2290
01-May-21,Madhya Pradesh,two wheelers,1,6302
01-May-21,Meghalaya,four wheelers,1,88
01-Jun-21,Assam,four wheelers,1,3842
01-Jun-21,DNH and DD,four wheelers,1,234
01-Jun-21,Himachal Pradesh,four wheelers,1,3193
01-Jun-21,Jammu and Kashmir,four wheelers,1,4469
01-Jun-21,Tripura,two wheelers,1,1523
01-Jul-21,Jammu and Kashmir,four wheelers,1,5336
01-Jul-21,Meghalaya,four wheelers,1,759
01-Aug-21,Andaman & Nicobar Island,four wheelers,1,110
01-Aug-21,Puducherry,four wheelers,1,837
01-Sep-21,DNH and DD,two wheelers,1,666
01-Sep-21,Himachal Pradesh,four wheelers,1,3379
01-Sep-21,Jammu and Kashmir,four wheelers,1,3773
01-Sep-21,Nagaland,two wheelers,1,578
01-Oct-21,Andaman & Nicobar Island,four wheelers,1,70
01-Oct-21,DNH and DD,two wheelers,1,628
01-Oct-21,DNH and DD,four wheelers,1,333
01-Oct-21,Himachal Pradesh,four wheelers,1,3201
01-Nov-21,DNH and DD,two wheelers,1,938
01-Nov-21,Puducherry,four wheelers,1,532
01-Dec-21,Andaman & Nicobar Island,four wheelers,1,122
01-Dec-21,DNH and DD,four wheelers,1,336
01-Dec-21,Himachal Pradesh,four wheelers,1,4105
01-Dec-21,Tripura,two wheelers,1,3579
